id,C,Si,Mn,P,Ni,Cr,Mo,S,CR,TT,YS,UTS,EL,RA,IS,label1,label2,label3
24,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,3,400,683,850,21,57,19,1,0,0
25,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,3,500,661,829,23,57.5,47,1,0,2
26,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,3,575,620,772,24,60,74,1,0,5
27,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,3,600,588,754,25,61.5,61,1,0,6
28,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,3,625,558,713,27,64.5,75,1,0,8
29,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,3,675,750,903,18.5,52,82,1,0,12
30,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,3,700,667,835,22,56.5,20,1,0,13
31,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,118,400,941,1002,20,56,24,1,12,0
32,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,118,500,855,912,22.5,61,42,1,12,2
33,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,118,550,745,810,24.5,63.5,79,1,12,3
34,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,118,600,710,778,26,64,84,1,12,6
35,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,34,400,985,1078,17,52.5,21,1,8,0
36,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,34,500,813,920,21,61,45,1,8,2
37,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,34,550,742,853,24,63,55,1,8,3
38,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,34,600,663,800,25,65,81,1,8,6
39,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,34,625,605,766,26,65.5,80,1,8,8
40,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,15,450,850,973,18.5,52.5,35,1,5,1
41,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,15,500,762,899,20,58,36,1,5,2
42,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,15,550,692,823,25,63.5,52,1,5,3
43,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,15,600,643,777,26,64.5,60,1,5,6
44,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,15,625,611,733,28,67.5,70,1,5,8
45,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,15,650,596,728,28.5,66.5,79,1,5,10
46,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,15,675,1194,1285,13,46,93,1,5,12
47,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,8,400,906,1007,19,57,29,1,2,0
48,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,8,450,830,947,20,59,43,1,2,1
49,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,8,500,760,894,21,55.5,58,1,2,2
50,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,8,550,744,855,23,63,66,1,2,3
51,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,8,600,626,794,24,61,70,1,2,6
52,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,8,625,634,785,25,63.5,81,1,2,8
53,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,8,650,588,730,28,64.5,86,1,2,10
54,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,8,675,903,1026,17.5,48,82,1,2,12
55,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,8,700,858,976,19,54,20,1,2,13
56,0.36,0.26,1.36,0.03,0.79,0.46,0.19,0.032,9,610,1110,1165,16.5,52,60,2,3,7
57,0.36,0.2,1.28,0.036,0.74,0.46,0.25,0.026,38,550,821,926,21.5,64,69,2,9,3
58,0.36,0.2,1.28,0.036,0.74,0.46,0.25,0.026,38,600,1037,1107,16.5,52,78,2,9,6
59,0.36,0.2,1.28,0.036,0.74,0.46,0.25,0.026,7,550,760,886,22,64,65,2,1,3
60,0.36,0.2,1.28,0.036,0.74,0.46,0.25,0.026,7,600,888,1000,20,48,76,2,1,6
61,0.36,0.2,1.28,0.036,0.74,0.46,0.25,0.026,7,650,744,889,24,55,60,2,1,10
62,0.37,0.2,1.3,0.03,0.84,0.43,0.11,0.03,38,600,715,851,25,63.5,72,2,9,6
63,0.38,0.25,1.26,0.025,0.56,0.5,0.21,0.03,54,625,839,946,23,56,48,2,11,8
64,0.38,0.33,1.26,0.02,0.56,0.5,0.21,0.016,118,500,1137,1250,15.5,45,17,3,12,2
65,0.38,0.33,1.26,0.02,0.56,0.5,0.21,0.016,118,550,1080,1216,18,47,18,3,12,3
66,0.38,0.33,1.26,0.02,0.56,0.5,0.21,0.016,118,600,946,1046,19,55,53,3,12,6
67,0.38,0.33,1.26,0.02,0.56,0.5,0.21,0.016,118,650,801,912,23,57,82,3,12,10
68,0.38,0.33,1.26,0.02,0.56,0.5,0.21,0.016,3,620,788,943,22,61.5,69,3,0,7
69,0.38,0.33,1.26,0.02,0.56,0.5,0.21,0.016,23,550,1089,1192,15,45,15,3,7,3
70,0.38,0.33,1.26,0.02,0.56,0.5,0.21,0.016,23,600,943,1077,18,52.5,44,3,7,6
